266,266,263,264,263,263,263,263,262,261,258,256,259,263,262,264,268,266,264,262,258,262,263,259,258,259,259,254,254,257,260,252
595,574,582,577,569,552,637,629,628,614,602,598,608,625,602,592,601,604,593,600,583,605,599,581,581,591,591,579,566,584,572,539
2493,2500,2507,2532,2499,2498,2514,2521,2560,2521,2423,2362,2434,2464,2465,2432,2418,2446,2448,2401,2356,2395,2371,2339,2298,2321,2283,2211,2174,2165,2140,2029
119,120,120,121,121,121,123,122,120,119,120,120,122,122,121,122,124,124,124,123,121,125,124,122,121,122,120,119,118,118,122,119
1076,1081,1071,1066,1076,1053,1044,1042,1040,1019,1025,1030,1060,1062,1056,1081,1077,1075,1061,1054,1042,1045,1041,1030,1022,1009,1014,999,998,998,997,1000
2820,2818,2850,2865,2819,2842,2820,2768,2747,2695,2721,2698,2769,2767,2747,2728,2760,2758,2673,2648,2583,2630,2652,2620,2624,2691,2778,2728,2800,2802,2889,2802
1957,1943,1965,1972,1941,2050,2092,2122,2108,2072,2061,2065,2128,2143,2088,2093,2139,2092,2073,2079,2043,2093,2120,2089,2092,2106,2134,2101,2114,2128,2180,2181
513,513,518,512,529,521,521,519,502,517,530,565,540,550,520,518,520,510,492,503,520,550
2200,2200,2170,2172,2195,2180,2166,2180,2179,2181,2200,2196,2251,2257,2255,2315,2705,2633,2618,2654,2499,2500,2458,2380,2350,2326,2300,2355,2409,2428
991,990,1050,1063,1011,1060,1060,1040,1000,1030,1034,1000,1020,1040,990,989
900,898,895,900,894,894,895,905,910,904,890,950,910,908,940,893,893,900,903,886,895,889,900,900,896,898,893,885,925,871
995,994,992,1007,985,1008,1060,1082,1088,1075,1070,1041,1056,1088,1086,1114,1125,1147,1073,1068,1077,1080,1046,960,946,930,918,932,932,901,936,911
